School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,Agency Name [Public School] 2019-20,School Type [Public School] 2019-20,Charter School [Public School] 2019-20,Magnet School [Public School] 2019-20,Shared Time School [Public School] 2019-20,Urban-centric Locale [Public School] 2019-20,Total Students All Grades (Excludes AE) [Public School] 2019-20,Full-Time Equivalent (FTE) Teachers [Public School] 2019-20,Pupil/Teacher Ratio [Public School] 2019-20,Lowest Grade Offered [Public School] 2019-20,Highest Grade Offered [Public School] 2019-20,School Level (SY 2017-18 onward) [Public School] 2019-20
MORGAN COUNTY SYSTEM OF SERVICES INC,ALABAMA,AL ,010001502458,SafetyNet Academy Minter,2-Special education school,2-No,2-No,2-No,13-City: Small,†,–,–,–,–,Not Reported
MORGAN EL MAGNET SCHOOL,Texas,TX ,4.82028E+11,GALVESTON ISD,1-Regular school,2-No,1-Yes,–,31-Town: Fringe,607,36,16.86,Prekindergarten,4th Grade,Elementary
MORGAN ELEMENTARY,Kansas,KS ,2.00762E+11,Hutchinson Public Schools,1-Regular school,2-No,2-No,–,32-Town: Distant,417,33.37,12.5,Prekindergarten,6th Grade,Elementary
MORGAN ELEMENTARY,California,CA ,063237004995,Rialto Unified,1-Regular school,2-No,2-No,–,21-Suburb: Large,523,–,†,Kindergarten,5th Grade,Elementary
MORGAN ELEMENTARY,North Carolina,NC ,3.70405E+11,Rowan-Salisbury Schools,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,345,22.8,15.13,Prekindergarten,5th Grade,Elementary
MORGAN ELEMENTARY SCHOOL,Michigan,MI ,2.63447E+11,Utica Community Schools,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,572,27.4,20.88,Prekindergarten,6th Grade,Elementary
MORGAN ELEMENTARY SCHOOL,Indiana,IN ,1.80069E+11,North Harrison Com School Corp,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,418,18,23.22,Prekindergarten,5th Grade,Elementary
MORGAN ELEMENTARY SCHOOL,Ohio,OH ,3.90461E+11,Ross Local,1-Regular school,2-No,–,2-No,41-Rural: Fringe,529,22.8,23.2,Prekindergarten,4th Grade,Elementary
MORGAN ELEMENTARY SCHOOL,Kentucky,KY ,2.10465E+11,Paducah Independent,1-Regular school,2-No,2-No,2-No,33-Town: Remote,392,28,14,Kindergarten,5th Grade,Elementary
MORGAN ELEMENTARY SCHOOL,New Jersey,NJ ,3.40654E+11,Hamilton Township Public School District,1-Regular school,2-No,†,2-No,21-Suburb: Large,306,25.96,11.79,Prekindergarten,5th Grade,Elementary
MORGAN FULL SERVICE COMMUNITY SCHOOL,Massachusetts,MA ,2.50627E+11,Holyoke,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,362,19.75,18.33,Prekindergarten,4th Grade,Elementary
MORGAN HIGH,Utah,UT ,4.90057E+11,Morgan District,1-Regular school,2-No,2-No,2-No,32-Town: Distant,987,40.44,24.41,9th Grade,12th Grade,High
MORGAN HIGH SCHOOL,Ohio,OH ,3.90488E+11,Morgan Local,1-Regular school,2-No,–,2-No,41-Rural: Fringe,567,40.79,13.9,9th Grade,12th Grade,High
MORGAN JUNIOR HIGH SCHOOL,Ohio,OH ,3.90488E+11,Morgan Local,1-Regular school,2-No,–,2-No,41-Rural: Fringe,267,18.1,14.75,7th Grade,8th Grade,Middle
MORGAN KINCAID PREPARATORY,California,CA ,060171010603,Adelanto Elementary,1-Regular school,2-No,2-No,–,21-Suburb: Large,798,–,†,Kindergarten,5th Grade,Elementary
MORGAN MAXWELL SCHOOL,ARIZONA,AZ ,040880003414,Tucson Unified District (4403),1-Regular school,2-No,–,2-No,11-City: Large,480,25.51,18.82,Prekindergarten,8th Grade,Elementary
MORGAN MIDDLE,Utah,UT ,4.90057E+11,Morgan District,1-Regular school,2-No,2-No,2-No,32-Town: Distant,557,26.88,20.72,5th Grade,8th Grade,Middle
MORGAN MIDDLE SCHOOL,Washington,WA ,5.30246E+11,Ellensburg School District,1-Regular school,2-No,2-No,–,32-Town: Distant,784,42.61,18.4,6th Grade,8th Grade,Middle
MORGAN MILL EL,Texas,TX ,4.83141E+11,MORGAN MILL ISD,1-Regular school,2-No,2-No,–,43-Rural: Remote,111,12.14,9.14,Prekindergarten,8th Grade,Elementary
MORGAN PARK HIGH SCHOOL,Illinois,IL ,1.70993E+11,City of Chicago SD 299,1-Regular school,2-No,2-No,2-No,11-City: Large,1123,76,14.78,7th Grade,12th Grade,High
MORGAN PRESCHOOL,Utah,UT ,4.90057E+11,Morgan District,2-Special education school,2-No,2-No,2-No,32-Town: Distant,34,1,34,Prekindergarten,Prekindergarten,Prekindergarten
MORGAN ROAD ELEMENTARY SCHOOL,New York,NY ,3.61752E+11,LIVERPOOL CENTRAL SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,487,31,15.71,Kindergarten,6th Grade,Elementary
MORGAN SCHOOL,Utah,UT ,4.90057E+11,Morgan District,1-Regular school,2-No,2-No,2-No,32-Town: Distant,593,29.76,19.93,Kindergarten,4th Grade,Elementary
MORGAN SCHOOL,Utah,UT ,4.90021E+11,Davis District,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,698,28.01,24.92,Kindergarten,6th Grade,Elementary
MORGAN SCHOOL,Texas,TX ,4.83138E+11,MORGAN ISD,1-Regular school,2-No,2-No,–,43-Rural: Remote,124,14.27,8.69,Prekindergarten,12th Grade,Other
MORGAN TOWNSHIP ELEMENTARY SCHOOL,Indiana,IN ,1.809E+11,East Porter County School Corp,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,388,23,16.87,Kindergarten,5th Grade,Elementary
MORGAN TOWNSHIP MIDDLE/HIGH SCHOOL,Indiana,IN ,1.809E+11,East Porter County School Corp,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,426,28.96,14.71,6th Grade,12th Grade,High
MORGAN WOODS ELEMENTARY SCHOOL,Florida,FL ,1.20087E+11,HILLSBOROUGH,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,463,31.5,14.7,Prekindergarten,5th Grade,Elementary
MORGANDALE ELEMENTARY,Wisconsin,WI ,5.5096E+11,Milwaukee School District,1-Regular school,2-No,2-No,2-No,11-City: Large,590,30.35,19.44,Prekindergarten,8th Grade,Elementary
MORGANFIELD ELEMENTARY SCHOOL,Kentucky,KY ,2.10564E+11,Union County,1-Regular school,2-No,2-No,2-No,32-Town: Distant,366,34.13,10.72,Kindergarten,5th Grade,Elementary
MORGANSHAW SCHOOL,Michigan,MI ,2.6065E+11,Boyne City Public Schools,4-Alternative/other school,2-No,2-No,2-No,33-Town: Remote,37,2.1,17.62,9th Grade,12th Grade,High
MORGANTON ROAD ELEMENTARY,North Carolina,NC ,3.70001E+11,Cumberland County Schools,1-Regular school,2-No,2-No,2-No,12-City: Mid-size,534,37.81,14.12,Kindergarten,5th Grade,Elementary
MORGANTOWN ELEMENTARY SCHOOL,Kentucky,KY ,2.10081E+11,Butler County,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,730,31,23.55,Prekindergarten,5th Grade,Elementary
MORGANTOWN HIGH SCHOOL,West Virginia,WV ,5.40093E+11,MONONGALIA COUNTY SCHOOLS,1-Regular school,†,2-No,2-No,13-City: Small,1851,97.5,18.98,9th Grade,12th Grade,High
MORGANTOWN MIDDLE,Mississippi,MS ,2.80303E+11,NATCHEZ-ADAMS SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,33-Town: Remote,349,19.93,17.51,6th Grade,8th Grade,Middle
MORGEN OWINGS ELEMENTARY SCHOOL,Washington,WA ,5.3012E+11,Lake Chelan School District,1-Regular school,2-No,2-No,–,32-Town: Distant,571,38.34,14.89,Kindergarten,5th Grade,Elementary
MORIAH ELEMENTARY SCHOOL,New York,NY ,3.61983E+11,MORIAH CENTRAL SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,381,38,10.03,Prekindergarten,6th Grade,Elementary
MORIAH JUNIOR-SENIOR HIGH SCHOOL,New York,NY ,3.61983E+11,MORIAH CENTRAL SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,325,37,8.78,7th Grade,12th Grade,High
MORIARTY ELEMENTARY,New Mexico,NM ,3.50189E+11,MORIARTY-EDGEWOOD SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,374,24.2,15.45,Prekindergarten,5th Grade,Elementary
MORIARTY HIGH,New Mexico,NM ,3.50189E+11,MORIARTY-EDGEWOOD SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,695,40.24,17.27,9th Grade,12th Grade,High
MORIARTY MAGNET SCHOOL,Connecticut,CT ,090312000668,Norwich School District,1-Regular school,2-No,1-Yes,2-No,41-Rural: Fringe,397,25.7,15.45,Kindergarten,5th Grade,Elementary
MORIARTY MIDDLE,New Mexico,NM ,3.50189E+11,MORIARTY-EDGEWOOD SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,266,16.96,15.68,6th Grade,8th Grade,Middle
MORICHES ELEMENTARY SCHOOL,New York,NY ,3.61869E+11,WILLIAM FLOYD UNION FREE SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,869,63.86,13.61,Kindergarten,5th Grade,Elementary
MORIKAMI PARK ELEMENTARY SCHOOL,Florida,FL ,1.2015E+11,PALM BEACH,1-Regular school,2-No,1-Yes,2-No,21-Suburb: Large,807,49.5,16.3,Prekindergarten,5th Grade,Elementary
MORIN SCHOOL,Montana,MT ,3.01896E+11,Morin Elem,1-Regular school,†,†,2-No,42-Rural: Distant,40,5.01,7.98,Prekindergarten,6th Grade,Elementary
MORLEY ELEMENTARY SCHOOL,Nebraska,NE ,3.17284E+11,LINCOLN PUBLIC SCHOOLS,1-Regular school,†,†,2-No,11-City: Large,477,32.3,14.77,Prekindergarten,5th Grade,Elementary
MORLEY NELSON ELEMENTARY,Idaho,ID ,1.60036E+11,BOISE INDEPENDENT DISTRICT,1-Regular school,2-No,2-No,2-No,12-City: Mid-size,537,28.98,18.53,Prekindergarten,6th Grade,Elementary
MORLEY SCHOOL,Connecticut,CT ,090492001018,West Hartford School District,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,279,24.2,11.53,Kindergarten,5th Grade,Elementary
MORLEY STANWOOD ELEMENTARY SCHOOL,Michigan,MI ,2.6246E+11,Morley Stanwood Community Schools,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,505,28.6,17.66,Prekindergarten,5th Grade,Elementary
MORLEY STANWOOD HIGH SCHOOL,Michigan,MI ,2.6246E+11,Morley Stanwood Community Schools,1-Regular school,2-No,1-Yes,2-No,42-Rural: Distant,369,16.07,22.96,9th Grade,12th Grade,High
MORLEY STANWOOD MIDDLE SCHOOL,Michigan,MI ,2.6246E+11,Morley Stanwood Community Schools,1-Regular school,2-No,1-Yes,2-No,42-Rural: Distant,298,17,17.53,6th Grade,8th Grade,Middle
MORMON TRAIL ELEMENTARY SCHOOL,Iowa,IA ,1.91974E+11,Mormon Trail Comm School District,1-Regular school,2-No,†,2-No,43-Rural: Remote,130,12.49,10.41,Prekindergarten,6th Grade,Elementary
MORMON TRAIL JR-SR HIGH SCHOOL,Iowa,IA ,1.91974E+11,Mormon Trail Comm School District,1-Regular school,2-No,†,2-No,43-Rural: Remote,85,8.27,10.28,7th Grade,12th Grade,High
MORNING CREEK ELEMENTARY,California,CA ,063153010006,Poway Unified,1-Regular school,2-No,2-No,–,11-City: Large,692,–,†,Kindergarten,5th Grade,Elementary
MORNING STAR SCHOOL,Montana,MT ,3.00456E+11,Bozeman Elem,1-Regular school,†,†,2-No,33-Town: Remote,487,26.5,18.38,Prekindergarten,5th Grade,Elementary
MORNING SUN ELEMENTARY SCHOOL,Iowa,IA ,1.91977E+11,Morning Sun Comm School District,1-Regular school,2-No,†,2-No,43-Rural: Remote,130,11.15,11.66,Prekindergarten,6th Grade,Elementary
MORNINGSIDE,California,CA ,061089008493,Delano Union Elementary,1-Regular school,2-No,2-No,–,23-Suburb: Small,554,–,†,Kindergarten,5th Grade,Elementary
MORNINGSIDE COMMUNITY SCHOOL,Massachusetts,MA ,2.50963E+11,Pittsfield,1-Regular school,2-No,2-No,2-No,13-City: Small,368,36.13,10.19,Prekindergarten,5th Grade,Elementary
MORNINGSIDE EL,Texas,TX ,4.81761E+11,DUMAS ISD,1-Regular school,2-No,2-No,–,33-Town: Remote,454,32.83,13.83,Prekindergarten,4th Grade,Elementary
MORNINGSIDE EL,Texas,TX ,4.8197E+11,FORT WORTH ISD,1-Regular school,2-No,2-No,–,11-City: Large,476,33.84,14.07,Prekindergarten,5th Grade,Elementary
MORNINGSIDE EL,Texas,TX ,4.8273E+11,LEWISVILLE ISD,1-Regular school,2-No,2-No,–,21-Suburb: Large,390,31.06,12.56,Prekindergarten,5th Grade,Elementary
MORNINGSIDE EL,Texas,TX ,4.81473E+11,COMAL ISD,1-Regular school,2-No,2-No,–,13-City: Small,730,51.59,14.15,Prekindergarten,5th Grade,Elementary
MORNINGSIDE EL,Texas,TX ,4.81168E+11,BROWNSVILLE ISD,1-Regular school,2-No,2-No,–,12-City: Mid-size,503,31.47,15.98,Prekindergarten,5th Grade,Elementary
MORNINGSIDE ELEM,Virginia,VA ,5.1033E+11,ROANOKE CITY PBLC SCHS,1-Regular school,2-No,2-No,2-No,13-City: Small,244,17,14.35,Prekindergarten,5th Grade,Elementary
MORNINGSIDE ELEMENTARY,IOWA,IA ,1.9264E+11,Sioux City Comm School District,1-Regular school,2-No,†,2-No,13-City: Small,678,39.58,17.13,Prekindergarten,5th Grade,Elementary
MORNINGSIDE ELEMENTARY,California,CA ,061488001864,Garden Grove Unified,1-Regular school,2-No,2-No,–,21-Suburb: Large,432,–,†,Kindergarten,6th Grade,Elementary
MORNINGSIDE ELEMENTARY,California,CA ,062271003198,Los Angeles Unified,1-Regular school,2-No,2-No,–,21-Suburb: Large,516,–,†,Kindergarten,5th Grade,Elementary
MORNINGSIDE ELEMENTARY SCHOOL,Georgia,GA ,1.30288E+11,Houston County,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,487,31.5,15.46,Prekindergarten,5th Grade,Elementary
MORNINGSIDE ELEMENTARY SCHOOL,Florida,FL ,1.20177E+11,ST. LUCIE,1-Regular school,2-No,2-No,2-No,12-City: Mid-size,606,42,14.43,Prekindergarten,5th Grade,Elementary
MORNINGSIDE ELEMENTARY SCHOOL,Kentucky,KY ,2.10165E+11,Elizabethtown Independent,1-Regular school,2-No,2-No,2-No,13-City: Small,450,29.21,15.41,1st Grade,5th Grade,Elementary
MORNINGSIDE ELEMENTARY SCHOOL,Georgia,GA ,1.30012E+11,Atlanta Public Schools,1-Regular school,2-No,2-No,2-No,11-City: Large,949,63.9,14.85,Kindergarten,5th Grade,Elementary
MORNINGSIDE ELEMENTARY SCHOOL,Alabama,AL ,010237000940,Mobile County,1-Regular school,2-No,2-No,2-No,12-City: Mid-size,451,25.3,17.83,Kindergarten,5th Grade,Elementary
MORNINGSIDE ELEMENTARY SCHOOL,Georgia,GA ,1.30183E+11,Dougherty County,1-Regular school,2-No,2-No,2-No,13-City: Small,421,29.5,14.27,Prekindergarten,5th Grade,Elementary
MORNINGSIDE ELEMENTARY SCHOOL,Oregon,OR ,4.11082E+11,Salem-Keizer SD 24J,1-Regular school,2-No,†,–,12-City: Mid-size,341,17.2,19.83,Kindergarten,5th Grade,Elementary
MORNINGSIDE ELEMENTARY SCHOOL,Idaho,ID ,1.60324E+11,TWIN FALLS DISTRICT,1-Regular school,2-No,2-No,2-No,33-Town: Remote,441,24.6,17.93,Prekindergarten,5th Grade,Elementary
MORNINGSIDE HIGH,California,CA ,061839002260,Inglewood Unified,1-Regular school,2-No,2-No,–,21-Suburb: Large,678,–,†,9th Grade,12th Grade,High
MORNINGSIDE K-8 ACADEMY,Florida,FL ,1.20039E+11,MIAMI-DADE,1-Regular school,2-No,1-Yes,2-No,11-City: Large,519,35,14.83,Prekindergarten,8th Grade,Elementary
MORNINGSIDE MIDDLE,Texas,TX ,4.8197E+11,FORT WORTH ISD,1-Regular school,2-No,2-No,–,11-City: Large,672,42.8,15.7,6th Grade,8th Grade,Middle
MORNINGSIDE MIDDLE,South Carolina,SC ,4.50144E+11,Charleston 01,1-Regular school,2-No,2-No,2-No,12-City: Mid-size,692,56,12.36,6th Grade,8th Grade,Middle
MORNINGSIDE SCHOOL,Montana,MT ,3.01304E+11,Great Falls Elem,1-Regular school,†,†,2-No,13-City: Small,270,19.35,13.95,Prekindergarten,6th Grade,Elementary
MORNINGSIDE SCHOOL,Utah,UT ,4.90036E+11,Granite District,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,563,23,24.48,Kindergarten,5th Grade,Elementary
MORNINGSTAR TREATMENT SERVICES- INC. YOUTH ESTATE,Georgia,GA ,1.3024E+11,Glynn County,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,39,6.5,6,7th Grade,11th Grade,Secondary
MORNINGVIEW ELEMENTARY SCHOOL,Alabama,AL ,010243001031,Montgomery County,1-Regular school,2-No,2-No,2-No,12-City: Mid-size,504,29,17.38,Kindergarten,5th Grade,Elementary
MOROCCO ELEMENTARY SCHOOL,Indiana,IN ,1.80792E+11,North Newton School Corp,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,147,12.08,12.17,Kindergarten,6th Grade,Elementary
MORONGO VALLEY ELEMENTARY,California,CA ,062586003887,Morongo Unified,1-Regular school,2-No,2-No,–,42-Rural: Distant,170,–,†,Kindergarten,6th Grade,Elementary
MORONI SCHOOL,Utah,UT ,4.90066E+11,North Sanpete District,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,346,15,23.07,Prekindergarten,6th Grade,Elementary
MORRELL PARK ELEMENTARY/MIDDLE,Maryland,MD ,2.40009E+11,Baltimore City Public Schools,1-Regular school,2-No,2-No,2-No,11-City: Large,471,28.5,16.53,Prekindergarten,8th Grade,Elementary
MORRICE AREA ELEMENTARY SCHOOL,Michigan,MI ,2.62463E+11,Morrice Area Schools,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,245,20.42,12,Prekindergarten,6th Grade,Elementary
MORRICE AREA HIGH SCHOOL,Michigan,MI ,2.62463E+11,Morrice Area Schools,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,252,14.64,17.21,7th Grade,12th Grade,High
MORRICE SCHAEFER CHARTER,CALIFORNIA,CA ,060168509993,Morrice Schaefer Charter District,1-Regular school,1-Yes,2-No,–,12-City: Mid-size,348,–,†,Kindergarten,6th Grade,Elementary
MORRILL EL,Texas,TX ,4.82247E+11,HARLANDALE ISD,1-Regular school,2-No,2-No,–,11-City: Large,442,20.79,21.26,Prekindergarten,5th Grade,Elementary
MORRILL ELEM MATH & SCI SCHOOL,Illinois,IL ,1.70993E+11,City of Chicago SD 299,1-Regular school,2-No,1-Yes,2-No,11-City: Large,570,35,16.29,Prekindergarten,8th Grade,Elementary
MORRILL ELEMENTARY,Nebraska,NE ,3.1001E+11,MORRILL PUBLIC SCHOOLS,1-Regular school,†,†,2-No,43-Rural: Remote,178,18,9.89,Prekindergarten,6th Grade,Elementary
MORRILL HIGH SCHOOL,Nebraska,NE ,3.1001E+11,MORRILL PUBLIC SCHOOLS,1-Regular school,†,†,2-No,43-Rural: Remote,169,16.07,10.52,7th Grade,12th Grade,High
MORRILL MIDDLE,California,CA ,060480000461,Berryessa Union Elementary,1-Regular school,2-No,2-No,–,11-City: Large,651,–,†,6th Grade,8th Grade,Middle
MORRILTON ELEMENTARY SCHOOL,Arkansas,AR ,051252001166,SO. CONWAY CO. SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,32-Town: Distant,348,20.49,16.98,2nd Grade,3rd Grade,Elementary
MORRILTON INTERMEDIATE SCHOOL,Arkansas,AR ,051252001243,SO. CONWAY CO. SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,32-Town: Distant,530,29.49,17.97,4th Grade,6th Grade,Middle
MORRILTON JUNIOR HIGH SCHOOL,Arkansas,AR ,051252000041,SO. CONWAY CO. SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,32-Town: Distant,363,27.43,13.23,7th Grade,8th Grade,Middle
MORRILTON PRIMARY SCHOOL,Arkansas,AR ,051252001245,SO. CONWAY CO. SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,32-Town: Distant,441,26.99,16.34,Prekindergarten,1st Grade,Elementary
MORRILTON SR. HIGH SCHOOL,Arkansas,AR ,051252001242,SO. CONWAY CO. SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,32-Town: Distant,680,93.13,7.3,9th Grade,12th Grade,High
MORRIS,Massachusetts,MA ,2.50675E+11,Lenox,1-Regular school,2-No,2-No,2-No,31-Town: Fringe,317,29.24,10.84,Prekindergarten,5th Grade,Elementary
MORRIS (EVELYN I.) EARLY CHILDHOOD,Delaware,DE ,1.00108E+11,Milford School District,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,419,31,13.52,Prekindergarten,Kindergarten,Elementary
MORRIS ACADEMY FOR COLLABORATIVE STUDIES,New York,NY ,3.60009E+11,NEW YORK CITY GEOGRAPHIC DISTRICT # 9,1-Regular school,2-No,2-No,2-No,11-City: Large,430,37.42,11.49,9th Grade,12th Grade,High
MORRIS ADLER ELEMENTARY SCHOOL,Michigan,MI ,2.63231E+11,Southfield Public School District,1-Regular school,2-No,2-No,2-No,13-City: Small,397,24,16.54,Kindergarten,5th Grade,Elementary
MORRIS AREA ELEMENTARY,Minnesota,MN ,2.70038E+11,MORRIS AREA PUBLIC SCHOOLS,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,578,39.76,14.54,Prekindergarten,6th Grade,Elementary
MORRIS AREA SECONDARY,Minnesota,MN ,2.70038E+11,MORRIS AREA PUBLIC SCHOOLS,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,512,‡,†,7th Grade,12th Grade,High
MORRIS AVENUE ELEMENTRY SCHOOL,New Jersey,NJ ,3.40894E+11,LONG BRANCH PUBLIC SCHOOL District,1-Regular school,2-No,†,2-No,21-Suburb: Large,378,31,12.19,Prekindergarten,Kindergarten,Elementary
MORRIS AVENUE INTERMEDIATE SCHOOL,Alabama,AL ,010258001566,Opelika City,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,329,20.4,16.13,3rd Grade,5th Grade,Elementary
MORRIS BYE ELEMENTARY,Minnesota,MN ,2.70318E+11,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,483,30.95,15.61,Kindergarten,5th Grade,Elementary
MORRIS CENTRAL SCHOOL,New York,NY ,3.61986E+11,MORRIS CENTRAL SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,322,33,9.76,Prekindergarten,12th Grade,Other
MORRIS CO JDC,NEW JERSEY,NJ ,3.4008E+11,MORRIS CO JDC,4-Alternative/other school,2-No,–,–,21-Suburb: Large,0,–,†,10th Grade,10th Grade,Secondary
MORRIS COMMUNITY HIGH SCHOOL,Illinois,IL ,1.72664E+11,Morris CHSD 101,1-Regular school,2-No,2-No,2-No,31-Town: Fringe,858,50.21,17.09,9th Grade,12th Grade,High
MORRIS COUNTY SCHOOL OF TECHNOLOGY,New Jersey,NJ ,3.41072E+11,Morris County Vocational School District,3-Vocational school,2-No,†,2-No,21-Suburb: Large,807,72.5,11.13,9th Grade,12th Grade,High
MORRIS E. DAILEY CHARTER ELEMENTARY,California,CA ,061455012619,Fresno Unified,1-Regular school,1-Yes,2-No,–,11-City: Large,405,–,†,Kindergarten,5th Grade,Elementary
MORRIS ELEMENTARY,California,CA ,062430003652,McKinleyville Union Elementary,1-Regular school,2-No,2-No,–,33-Town: Remote,348,–,†,3rd Grade,5th Grade,Elementary
MORRIS ELEMENTARY,IOWA,IA ,1.90507E+11,Bondurant-Farrar Comm School District,1-Regular school,2-No,†,2-No,41-Rural: Fringe,728,40.3,18.06,Prekindergarten,2nd Grade,Elementary
MORRIS ELEMENTARY SCHOOL,Iowa,IA ,1.90897E+11,Des Moines Independent Comm School District,1-Regular school,2-No,†,2-No,12-City: Mid-size,526,43.5,12.09,Kindergarten,5th Grade,Elementary
MORRIS ELEMENTARY SCHOOL,Alabama,AL ,010243001105,Montgomery County,1-Regular school,2-No,2-No,2-No,12-City: Mid-size,580,31,18.71,Prekindergarten,5th Grade,Elementary
MORRIS ELEMENTARY SCHOOL,Alabama,AL ,010180001529,Huntsville City,1-Regular school,2-No,2-No,2-No,12-City: Mid-size,580,32,18.13,Prekindergarten,5th Grade,Elementary
MORRIS ES,Oklahoma,OK ,4.02031E+11,MORRIS,1-Regular school,2-No,†,2-No,32-Town: Distant,464,30.58,15.17,Prekindergarten,5th Grade,Elementary
MORRIS FORD MIDDLE SCHOOL,Washington,WA ,5.30294E+11,Franklin Pierce School District,1-Regular school,2-No,2-No,–,21-Suburb: Large,1040,57.03,18.24,6th Grade,8th Grade,Middle
MORRIS GOODWIN SCHOOL,New Jersey,NJ ,3.40615E+11,Greenwich Township School District,1-Regular school,2-No,†,2-No,42-Rural: Distant,84,15.31,5.49,Prekindergarten,8th Grade,Elementary
MORRIS GROVE ELEMENTARY,North Carolina,NC ,3.70072E+11,Chapel Hill-Carrboro City Schools,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,541,38.51,14.05,Prekindergarten,5th Grade,Elementary
MORRIS HILL ELEM,Kansas,KS ,2.00789E+11,Geary County Schools,1-Regular school,2-No,2-No,–,31-Town: Fringe,242,19,12.74,Prekindergarten,5th Grade,Elementary
MORRIS HILLS HIGH SCHOOL,New Jersey,NJ ,3.41074E+11,Morris Hills Regional School District,1-Regular school,2-No,†,2-No,21-Suburb: Large,1258,116.83,10.77,9th Grade,12th Grade,High
MORRIS HS,Oklahoma,OK ,4.02031E+11,MORRIS,1-Regular school,2-No,†,2-No,32-Town: Distant,293,20.68,14.17,9th Grade,12th Grade,High
MORRIS INNOVATIVE HIGH SCHOOL,Georgia,GA ,1.30162E+11,Dalton Public Schools,1-Regular school,2-No,2-No,2-No,13-City: Small,324,31.4,10.32,9th Grade,12th Grade,High
MORRIS JEFF COMMUNITY SCHOOL,LOUISIANA,LA ,2.2002E+11,Morris Jeff Community School,1-Regular school,1-Yes,2-No,–,11-City: Large,877,71.73,12.23,Prekindergarten,8th Grade,Elementary
MORRIS K. HAMASAKI ELEMENTARY,California,CA ,062271003306,Los Angeles Unified,1-Regular school,2-No,2-No,–,21-Suburb: Large,449,–,†,Kindergarten,6th Grade,Elementary
MORRIS K. UDALL ESCUELA DE BELLAS ARTES,Arizona,AZ ,040396001876,Isaac Elementary District (4259),1-Regular school,2-No,–,2-No,11-City: Large,689,32,21.53,6th Grade,8th Grade,Middle
MORRIS KNOLLS HIGH SCHOOL,New Jersey,NJ ,3.41074E+11,Morris Hills Regional School District,1-Regular school,2-No,†,2-No,21-Suburb: Large,1412,127.62,11.06,9th Grade,12th Grade,High
MORRIS MIDDLE,Texas,TX ,4.83432E+11,PASADENA ISD,1-Regular school,2-No,2-No,–,11-City: Large,827,62.49,13.23,5th Grade,6th Grade,Middle
MORRIS MIDDLE,Texas,TX ,4.82967E+11,MCALLEN ISD,1-Regular school,2-No,2-No,–,12-City: Mid-size,984,64.65,15.22,6th Grade,8th Grade,Middle
MORRIS MIDDLE SCHOOL,ALABAMA,AL ,010180002484,Huntsville City,1-Regular school,2-No,2-No,2-No,12-City: Mid-size,503,20,25.15,6th Grade,8th Grade,Middle
MORRIS MS,Oklahoma,OK ,4.02031E+11,MORRIS,1-Regular school,2-No,†,2-No,32-Town: Distant,241,16.06,15.01,6th Grade,8th Grade,Middle
